NAME,B01003_001E,state,county,tract,block group
"Block Group 3, Census Tract 715, Ponce Municipio, Puerto Rico",1381,72,113,071500,3
"Block Group 3, Census Tract 716.01, Ponce Municipio, Puerto Rico",539,72,113,071601,3
"Block Group 3, Census Tract 716.02, Ponce Municipio, Puerto Rico",900,72,113,071602,3
"Block Group 2, Census Tract 717, Ponce Municipio, Puerto Rico",939,72,113,071700,2
"Block Group 3, Census Tract 718, Ponce Municipio, Puerto Rico",621,72,113,071800,3
"Block Group 3, Census Tract 719, Ponce Municipio, Puerto Rico",674,72,113,071900,3
"Block Group 1, Census Tract 720, Ponce Municipio, Puerto Rico",1011,72,113,072000,1
"Block Group 2, Census Tract 721.01, Ponce Municipio, Puerto Rico",687,72,113,072101,2
"Block Group 3, Census Tract 721.02, Ponce Municipio, Puerto Rico",1779,72,113,072102,3
"Block Group 2, Census Tract 725, Ponce Municipio, Puerto Rico",1133,72,113,072500,2
"Block Group 2, Census Tract 726, Ponce Municipio, Puerto Rico",639,72,113,072600,2
"Block Group 2, Census Tract 727.01, Ponce Municipio, Puerto Rico",771,72,113,072701,2
"Block Group 3, Census Tract 727.03, Ponce Municipio, Puerto Rico",741,72,113,072703,3
"Block Group 1, Census Tract 729, Ponce Municipio, Puerto Rico",502,72,113,072900,1
"Block Group 4, Census Tract 729, Ponce Municipio, Puerto Rico",2087,72,113,072900,4
"Block Group 3, Census Tract 730.01, Ponce Municipio, Puerto Rico",1026,72,113,073001,3
"Block Group 3, Census Tract 730.02, Ponce Municipio, Puerto Rico",1973,72,113,073002,3
"Block Group 2, Census Tract 730.04, Ponce Municipio, Puerto Rico",586,72,113,073004,2
"Block Group 1, Census Tract 730.05, Ponce Municipio, Puerto Rico",428,72,113,073005,1
"Block Group 1, Census Tract 730.06, Ponce Municipio, Puerto Rico",1387,72,113,073006,1
"Block Group 2, Census Tract 730.09, Ponce Municipio, Puerto Rico",809,72,113,073009,2
"Block Group 2, Census Tract 730.10, Ponce Municipio, Puerto Rico",2371,72,113,073010,2
"Block Group 1, Census Tract 3301, Quebradillas Municipio, Puerto Rico",1764,72,115,330100,1
"Block Group 4, Census Tract 3301, Quebradillas Municipio, Puerto Rico",1489,72,115,330100,4
"Block Group 1, Census Tract 9594.02, Rincón Municipio, Puerto Rico",1575,72,117,959402,1
"Block Group 1, Census Tract 9596.01, Rincón Municipio, Puerto Rico",725,72,117,959601,1
"Block Group 2, Census Tract 9596.02, Rincón Municipio, Puerto Rico",1596,72,117,959602,2
"Block Group 1, Census Tract 1301.01, Río Grande Municipio, Puerto Rico",1174,72,119,130101,1
"Block Group 4, Census Tract 1301.01, Río Grande Municipio, Puerto Rico",1526,72,119,130101,4
"Block Group 2, Census Tract 1301.02, Río Grande Municipio, Puerto Rico",2859,72,119,130102,2
"Block Group 2, Census Tract 1302, Río Grande Municipio, Puerto Rico",783,72,119,130200,2
"Block Group 2, Census Tract 1303, Río Grande Municipio, Puerto Rico",521,72,119,130300,2
"Block Group 2, Census Tract 1304.01, Río Grande Municipio, Puerto Rico",2567,72,119,130401,2
"Block Group 3, Census Tract 1304.02, Río Grande Municipio, Puerto Rico",1232,72,119,130402,3
"Block Group 4, Census Tract 1305, Río Grande Municipio, Puerto Rico",1705,72,119,130500,4
"Block Group 1, Census Tract 1306.02, Río Grande Municipio, Puerto Rico",2165,72,119,130602,1
"Block Group 2, Census Tract 1307.01, Río Grande Municipio, Puerto Rico",1781,72,119,130701,2
"Block Group 2, Census Tract 1307.03, Río Grande Municipio, Puerto Rico",1279,72,119,130703,2
"Block Group 3, Census Tract 9607, Sabana Grande Municipio, Puerto Rico",1402,72,121,960700,3
"Block Group 3, Census Tract 9608, Sabana Grande Municipio, Puerto Rico",1251,72,121,960800,3
"Block Group 3, Census Tract 9526, Salinas Municipio, Puerto Rico",515,72,123,952600,3
"Block Group 1, Census Tract 9528, Salinas Municipio, Puerto Rico",637,72,123,952800,1
"Block Group 4, Census Tract 9528, Salinas Municipio, Puerto Rico",1331,72,123,952800,4
"Block Group 2, Census Tract 9529.01, Salinas Municipio, Puerto Rico",1778,72,123,952901,2
"Block Group 2, Census Tract 9529.02, Salinas Municipio, Puerto Rico",1595,72,123,952902,2
"Block Group 2, Census Tract 9531, Salinas Municipio, Puerto Rico",1428,72,123,953100,2
"Block Group 3, Census Tract 9532, Salinas Municipio, Puerto Rico",1093,72,123,953200,3
"Block Group 2, Census Tract 8401, San Germán Municipio, Puerto Rico",1033,72,125,840100,2
"Block Group 2, Census Tract 8402, San Germán Municipio, Puerto Rico",1321,72,125,840200,2
"Block Group 1, Census Tract 8403, San Germán Municipio, Puerto Rico",1122,72,125,840300,1
"Block Group 1, Census Tract 8404, San Germán Municipio, Puerto Rico",2069,72,125,840400,1
"Block Group 1, Census Tract 7, San Juan Municipio, Puerto Rico",561,72,127,000700,1
"Block Group 2, Census Tract 9, San Juan Municipio, Puerto Rico",463,72,127,000900,2
"Block Group 2, Census Tract 10.01, San Juan Municipio, Puerto Rico",1258,72,127,001001,2
"Block Group 1, Census Tract 10.02, San Juan Municipio, Puerto Rico",577,72,127,001002,1
"Block Group 2, Census Tract 11, San Juan Municipio, Puerto Rico",646,72,127,001100,2
"Block Group 1, Census Tract 13.01, San Juan Municipio, Puerto Rico",1926,72,127,001301,1
"Block Group 3, Census Tract 13.02, San Juan Municipio, Puerto Rico",1142,72,127,001302,3
"Block Group 2, Census Tract 14, San Juan Municipio, Puerto Rico",630,72,127,001400,2
"Block Group 1, Census Tract 16, San Juan Municipio, Puerto Rico",985,72,127,001600,1
"Block Group 2, Census Tract 18, San Juan Municipio, Puerto Rico",825,72,127,001800,2
"Block Group 3, Census Tract 19, San Juan Municipio, Puerto Rico",593,72,127,001900,3
"Block Group 1, Census Tract 21, San Juan Municipio, Puerto Rico",690,72,127,002100,1
"Block Group 2, Census Tract 22, San Juan Municipio, Puerto Rico",742,72,127,002200,2
"Block Group 1, Census Tract 24, San Juan Municipio, Puerto Rico",1030,72,127,002400,1
"Block Group 2, Census Tract 25, San Juan Municipio, Puerto Rico",860,72,127,002500,2
"Block Group 1, Census Tract 33, San Juan Municipio, Puerto Rico",715,72,127,003300,1
"Block Group 2, Census Tract 34, San Juan Municipio, Puerto Rico",997,72,127,003400,2
"Block Group 3, Census Tract 35.01, San Juan Municipio, Puerto Rico",1519,72,127,003501,3
"Block Group 1, Census Tract 36, San Juan Municipio, Puerto Rico",650,72,127,003600,1
"Block Group 2, Census Tract 37.01, San Juan Municipio, Puerto Rico",509,72,127,003701,2
"Block Group 1, Census Tract 38, San Juan Municipio, Puerto Rico",1214,72,127,003800,1
"Block Group 2, Census Tract 39.02, San Juan Municipio, Puerto Rico",1145,72,127,003902,2
"Block Group 1, Census Tract 42, San Juan Municipio, Puerto Rico",1000,72,127,004200,1
"Block Group 2, Census Tract 43.06, San Juan Municipio, Puerto Rico",720,72,127,004306,2
"Block Group 2, Census Tract 44, San Juan Municipio, Puerto Rico",27,72,127,004400,2
"Block Group 2, Census Tract 45, San Juan Municipio, Puerto Rico",957,72,127,004500,2
"Block Group 3, Census Tract 46, San Juan Municipio, Puerto Rico",580,72,127,004600,3
"Block Group 2, Census Tract 47, San Juan Municipio, Puerto Rico",1449,72,127,004700,2
"Block Group 5, Census Tract 47, San Juan Municipio, Puerto Rico",1395,72,127,004700,5
"Block Group 1, Census Tract 49, San Juan Municipio, Puerto Rico",694,72,127,004900,1
"Block Group 3, Census Tract 51.03, San Juan Municipio, Puerto Rico",1755,72,127,005103,3
"Block Group 3, Census Tract 52.01, San Juan Municipio, Puerto Rico",1020,72,127,005201,3
"Block Group 1, Census Tract 52.04, San Juan Municipio, Puerto Rico",749,72,127,005204,1
"Block Group 1, Census Tract 52.15, San Juan Municipio, Puerto Rico",1632,72,127,005215,1
